一一	76200	ii
一支	26000	izh
一枝	5100	izh
一絲	8800	is
一隻	55600	izh
之一	196100	zhi
之屋	300	zhu
之恩	300	zhen
依依	6800	ii
凹凹	100	aoao
吃吃	5000	chch
吱吱	4000	zz
哀思	900	ais
唉唉	800	aiai
喔喔	6000	oo
嗚嗚	2200	uu
嗯嗯	1000	enen
孜孜	1900	zz
孳孳	0	zz
安安	6900	anan
屍衣	100	shi
巫師	3400	ush
巫醫	400	ui
師恩	800	shen
師資	25700	shz
思恩	400	sen
恩師	2900	ensh
施恩	400	shen
施醫	100	shi
痴痴	900	chch
癡癡	500	chch
知恩	300	zhen
絲絲	4900	ss
絲織	600	szh
資安	2400	zan
醫師	130500	ish
鎢絲	300	us
雌獅	0	csh
一世	29700	ish
一事	17700	ish
一五	15500	iu
一似	400	is
一億	29100	ii
一刀	3000	idao
一分	20500	ifen
一割	0	ige
一包	6000	ibao
一匙	300	ich
一匹	1400	ipi
一區	4300	iqu
一只	4000	izh
一呎	0	ich
一周	4500	izhou
一哥	1000	ige
一喝	1000	ihe
一壓	500	iya
一夫	2000	ifu
一字	7800	iz
一封	9800	ifeng
一尺	1200	ich
一山	600	ishan
一幫	900	ibang
一干	800	igan
一式	200	ish
一張	75400	izhang
一意	5000	ii
一批	20000	ipi
一披	100	ipi
一拉	900	ila
一拍	2700	ipai
一招	3300	izhao
一按	900	ian
一摸	500	imo
一撥	400	ibo
一播	300	ibo
一敷	100	ifu
一方	145400	ifang
一日	115300	ir
一是	21000	ish
一時	90900	ish
一智	1100	izh
一朝	2200	izhao
一杯	9400	ibei
一株	2500	izhu
一根	11900	igen
一梯	1000	iti
一棵	8700	ike
一次	304100	ic
一死	4200	is
一池	800	ich
一波	27800	ipo
一滴	7500	idi
一潑	0	ipo
一無	15400	iu
一物	1700	iu
一班	11900	iban
一生	67600	isheng
一番	16400	ifan
一當	800	idang
一發	8800	ifa
一直	434300	izh
一科	3500	ike
一窩	4900	iwo
一章	7800	izhang
一竿	100	igan
一紙	1100	izh
一缸	500	igang
一義	600	ii
一翻	1300	ifan
一聲	19100	isheng
一胎	1700	itai
一致	63800	izh
一般	472500	iban
一艘	5400	isao
一試	3200	ish
一語	4000	iyu
一跟	900	igen
一踢	100	iti
一身	8400	ishen
一車	2200	iche
一週	13600	izhou
一遭	1500	izao
一遮	0	izhe
一針	3200	izhen
一開	62900	ikai
一隅	3300	iyu
一顆	27600	ike
一餐	3600	ican
一齣	8300	ichu
之事	5500	zhsh
之二	56400	zher
之分	5000	zhfen
之初	14300	zhchu
之子	9600	zhz
之恥	800	zhch
之意	12300	zhi
之愛	1700	zhai
之於	6800	zhyu
之時	6100	zhsh
之無	3400	zhu
之至	1600	zhzh
之舞	1100	zhu
之身	700	zhshen
之餘	22900	zhyu
伊始	400	ish
依侍	0	ish
依偎	2300	iwei
依次	2500	ic
依物	100	iu
依稀	4300	ixi
依約	1500	iyue
凹溝	100	aogou
凹窪	0	aowa
司儀	1700	si
司務	0	su
司機	33000	sji
吃出	2200	chchu
吃喝	4500	chhe
吃案	1000	chan
吃死	600	chs
吃食	1800	chsh
吃齋	200	chzhai
吱唔	0	zu
吱喳	400	zcha
吱聲	400	zsheng
咿啞	0	iya
哀傷	3900	aishang
哀哉	800	aizai
哀子	0	aiz
哀意	0	aii
哀戚	200	aiqi
哀歌	1700	aige
哎呀	2800	aiya
哎唷	300	aiyo
哎喲	1800	aiyao
啊呀	900	aya
啊哈	700	aha
啊唷	200	ayo
喔唷	600	oyo
嗚呼	1300	uhu
嗚唈	0	ui
嗚啦	0	ula
嘔啞	0	ouya
埃森	0	aisen
壹拾	100	ish
失事	9700	shsh
失儀	0	shi
失勢	600	shsh
失實	200	shsh
失恃	0	shsh
失意	2100	shi
失時	700	shsh
失物	400	shu
失真	3100	shzhen
失約	400	shyue
失聲	2100	shsheng
失職	4400	shzh
失誤	12200	shu
