%	0	pa1
11 區	0	shi2 yi1 qu1
2019 冠狀病毒病	0	er4 ling2 yi1 jiu3 guan1 zhuang4 bing4 du2 bing4
21 三體綜合症	0	er4 shi2 yi1 san1 ti3 zong1 he2 zheng4
3C	0	san1 c
3P	0	san1 p
3Q	0	san1 q
421	0	si4 er4 yi1
502 膠	0	wu3 ling2 er4 jiao1
88	0	ba1 ba1
95 後	0	jiu3 wu3 hou4
996	0	jiu3 jiu3 liu4
A	0	a
AA 制	0	aa zhi4
AB 制	0	a b zhi4
ACG	0	a c g
A 咖	0	a ka1
A 圈兒	0	a quan1 r5
A 片	0	a pian4
A 菜	0	a cai4
A 貨	0	a huo4
B	0	bi1
BM	0	b m
BP 機	0	b p ji1
B 型超聲	0	b xing2 chao1 sheng1
B 格	0	bi1 ge2
B 站	0	b zhan4
B 超	0	b chao1
CJB	0	c j b
CP	0	c p
CP 值	0	c p zhi2
C 位	0	c wei4
C 盤	0	c pan2
C 羅	0	c luo2
DNA 鑒定	0	d n a jian4 ding4
E 仔	0	e zai3
G 友	0	g you3
G 弦褲	0	g xian2 ku4
G 點	0	g dian3
H 橋	0	h qiao2
IP	0	i p
IP 劇	0	i p ju4
JK 制服	0	j k zhi4 fu2
K 人	0	k ren2
K 仔	0	k zai3
K 他命	0	k ta1 ming4
K 房	0	k fang2
K 書	0	k shu1
K 歌	0	k ge1
K 粉	0	k fen3
K 線	0	k xian4
K 線圖	0	k xian4 tu2
K 金	0	k jin1
L 照	0	l zhao4
MC	0	m c
MV	0	m v
M 巾	0	m jin1
NG	0	n g
NG 片段	0	n g pian4 duan4
NG 鏡頭	0	n g jing4 tou2
N 久	0	n jiu3
N 擋	0	n dang3
OK 繃	0	ok beng1
OK 鏡	0	o k jing4
OS	0	o s
O 型腿	0	o xing2 tui3
P	0	p
PA	0	p a
PA 部	0	p a bu4
PK	0	p k
PO	0	po1
PO 文	0	po1 wen2
PU	0	p u
PUA	0	p-u-a
P 圖	0	p tu2
P 擋	0	p dang3
P 民	0	p min2
Q	0	q
QR 扣	0	q r kou4
Q 勁	0	q jin4
Q 彈	0	q tan2
T	0	t
TA	0	ta1
TF 卡	0	t f ka3
Tony	0	t o n y
Tony 老師	0	t o n y lao3 shi1
T 台	0	t tai2
T 型台	0	t xing2 tai2
T 字帳	0	t zi4 zhang4
T 字褲	0	t zi4 ku4
T 恤	0	t xu4
T 裇	0	t xu1
UP 主	0	u p zhu3
USB 手指	0	u s b shou3 zhi3
USB 記憶棒	0	u s b ji4 yi4 bang4
U 凸內褲	0	u tu1 nei4 ku4
U 型枕	0	u xing2 zhen3
U 型池	0	u xing2 chi2
U 形轉彎	0	u xing2 zhuan3 wan1
U 盤	0	u pan2
U 盾	0	u dun4
VCR	0	v c r
V 溝	0	v gou1
XO 醬	0	x o jiang4
X 光	0	x guang1
cos	0	c o s
coser	0	coser
e 人	0	e ren2
ins	0	i n s
i 人	0	i ren2
mua	0	m u a
w	0	w
word	0	w o r d
word 姐	0	w o r d jie3
π日	0	pai4 ri4
□	0	biang4
□	0	biu1
□	0	ging1
○	0	ling2
⺮	0	zhu2
々	0	xx5
〇	0	ling2
〡	0	yi1
〢	0	er4
〣	0	san1
〤	0	si4
〥	0	wu3
〦	0	liu4
〧	0	qi1
〨	0	ba1
〩	0	jiu3
〸	0	shi2
〻	0	xx5
ㄅㄧㄤˋ	0	xx5 xx5 xx5 xx5
ㄏㄤ	0	hang1
㍻	0	xx5
㍼	0	xx5
㍽	0	xx5
㍾	0	xx5
㐄	0	kua4
㐅	0	wu3
㐆	0	yin3
㐌	0	ta1
㐖	0	xie2
㐖毒	0	xie2 du2
㐜	0	chou2
㐡	0	nuo4
㐤	0	qiu2
㐫	0	xiong1
㐰	0	xin4
㐺	0	zhong4
㑊	0	yi4
㑳	0	zhou4
㑺	0	jun4
㒳	0	liang3
㒸	0	sui4
㒺	0	wang3
㓂	0	kou4
㔾	0	jie2
㕁	0	que4
㕑	0	chu2
㕘	0	can1
㕥	0	shen1
㕥	0	yi3
㕯	0	ne4
㕻	0	pou3
㗂	0	sheng3
㘓	0	lan2
㘓哰	0	lan2 lao2
㘚	0	han3
㘭	0	ao4
㘵	0	bu4
㙍	0	duo1
㙦	0	xie2
㚻	0	ji1
㚻姦	0	ji1 jian1
㛂	0	nuo3
㛃	0	jie2
㝄	0	chun2
㝇	0	chun2
㝛	0	su4
㝠	0	ming2
㝡	0	zui4
㝵	0	ai4
㝵	0	de2
㞎	0	ba3
㞎㞎	0	ba3 ba5
㞗	0	qiu2
㞙	0	niao4
㞞	0	song2
㟁	0	an4
㟃	0	si1
㠀	0	dao3
㠇	0	jiu4
㠯	0	yi3
㠶	0	fan1
㡌	0	mao4
㢘	0	lian2
㢠	0	jiong3
㢲	0	xun4
㢴	0	xi1
㣟	0	xi4
㤅	0	ai4
㤙	0	en1
㥁	0	de2
㥏	0	tian3
㥦	0	qie4
㥮	0	zhou4
㥯	0	yin3
㦂	0	chang2
㧯	0	lao3
㧱	0	na2
㨃	0	dui3
㨗	0	jie2
㨪	0	huang3
㨿	0	ju4
㩐	0	den4
㩗	0	xie2
㩜	0	lan3
㩦	0	xie2
㩳	0	song3
㪃	0	he2
㪋	0	han4
㪚	0	san4
㪟	0	dun1
㫰	0	lang4
㫺	0	xi1
㬉	0	nuan3
㬎	0	xian3
㮎	0	bei1
㮚	0	li4
㮸	0	song4
㯭	0	lu3
㯳	0	qing2
㱃	0	yin3
㱾	0	gai1
㲈	0	shao2
㲈	0	tao2
㲋	0	chuo4
㲱	0	lie4
㲾	0	yu3
㳂	0	yan2
㳄	0	xian2
㳇	0	fu4
㳒	0	fa3
㳘	0	chong1
㳮	0	niao4
㴱	0	shen1
㵎	0	jian4
㵐	0	jue2
㵐水	0	jue2 shui3
㵪	0	xian2
㵮	0	chun2
㶸	0	xie2
㷖	0	zhao4
㷭	0	feng1
㷸	0	ye4
㸌	0	huo4
㹠	0	tun2
㹢	0	jia1
㹴	0	geng1
㹴犬	0	geng1 quan3
㺢	0	huo4
㺢㹢狓	0	huo4 jia1 pi2
㺵	0	jiu3
㻬	0	tu2
㻽	0	xuan2
㼝	0	wan3
㽞	0	liu2
㽮	0	xing1
㿜	0	bie3
㿝	0	xiang1
㿠	0	huang4
䂖	0	shi2
䂲	0	fa3
䂶	0	jie2
䃉	0	min2
䃎	0	zha4
䅵	0	zhuo2
䇲	0	ce4
䈰	0	shao1
䊀	0	hu2
䍃	0	yao2
䍹	0	shan1
䎃	0	ran3
䒗	0	qi4
䓬	0	zhuo2
䔢	0	hua2
䕭	0	qian2
䕭	0	xian2
䖟	0	meng2
䖸	0	e2
䗈	0	meng2
䗥	0	zong1
䗪	0	zhe4
䗬	0	feng1
䗶	0	la4
䘏	0	xu4
䘑	0	mai4
䘚	0	zu2
䛐	0	ci2
䛟	0	jia2
䝓	0	lie4
䝔	0	huan1
䞓	0	cheng1
䟆	0	bi4
䟖	0	zhi3
䠀	0	chang3
䠀	0	tang1
䠞	0	cu4
䠶	0	she4
䢺	0	chu1
䤈	0	xi1
䥑	0	mai4
䥥	0	lian2
䥯	0	ba4
䦉	0	si4
䦕	0	peng1
䩦	0	tiao2
䫏	0	qi1
䬃	0	sa4
䬠	0	fei1
䬪	0	bo2
䭾	0	tuo2
䯝	0	sui3
䰟	0	hun2
䰾	0	ba1
䰾魚	0	ba1 yu2
䲁	0	wei4
䲔	0	jing1
䲘	0	guan3
䳗	0	e2
䳘	0	e2
䳭	0	ji2
䴈	0	ao3
䴉	0	huan2
䴉嘴鷸	0	huan2 zui3 yu4
䴸	0	fu1
䵹	0	zhi1
䶊	0	nu:4
䶑	0	ti4
一	0	yi1
一一	0	yi1 yi1
一一對應	0	yi1 yi1 dui4 ying4
一一映射	0	yi1 yi1 ying4 she4
一丁不識	0	yi1 ding1 bu4 shi2
一丁點	0	yi1 ding1 dian3
一下	0	yi1 xia4
一下兒	0	yi1 xia4 r5
一下子	0	yi1 xia4 zi5
一不做，二不休	0	yi1 bu4 zuo4, er4 bu4 xiu1
一不小心	0	yi1 bu4 xiao3 xin1
一世	0	yi1 shi4
一丘之貉	0	yi1 qiu1 zhi1 he2
一丟丟	0	yi1 diu1 diu1
一並	0	yi1 bing4
一中一台	0	yi1 zhong1 yi1 tai2
一中原則	0	yi1 zhong1 yuan2 ze2
一之為甚	0	yi1 zhi1 wei2 shen4
一之謂甚	0	yi1 zhi1 wei4 shen4
一乾二淨	0	yi1 gan1 er4 jing4
一了百了	0	yi1 liao3 bai3 liao3
一事無成	0	yi1 shi4 wu2 cheng2
一二	0	yi1 er4
一二九運動	0	yi1 er4 jiu3 yun4 dong4
一二八事變	0	yi1 er4 ba1 shi4 bian4
一五一十	0	yi1 wu3 yi1 shi2
一些	0	yi1 xie1
一人得道，雞犬升天	0	yi1 ren2 de2 dao4, ji1 quan3 sheng1 tian1
一介不取	0	yi1 jie4 bu4 qu3
一代	0	yi1 dai4
一代不如一代	0	yi1 dai4 bu4 ru2 yi1 dai4
一以貫之	0	yi1 yi3 guan4 zhi1
一併	0	yi1 bing4
一來	0	yi1 lai2
一來二去	0	yi1 lai2 er4 qu4
一個中國政策	0	yi1 ge4 zhong1 guo2 zheng4 ce4
一個人	0	yi1 ge4 ren2
一個個	0	yi1 ge4 ge4
一個勁	0	yi1 ge4 jin4
一個勁兒	0	yi1 ge4 jin4 r5
一個半	0	yi1 ge5 ban4
一個天南，一個地北	0	yi1 ge5 tian1 nan2, yi1 ge5 di4 bei3
一個將軍一個令	0	yi1 ge4 jiang1 jun1 yi1 ge4 ling4
一個巴掌拍不響	0	yi1 ge5 ba1 zhang3 pai1 bu4 xiang3
一個接一個	0	yi1 ge5 jie1 yi1 ge5
一個樣	0	yi1 ge5 yang4
一個蘿蔔一個坑	0	yi1 ge4 luo2 bo5 yi1 ge4 keng1
一個頭兩個大	0	yi1 ge5 tou2 liang3 ge5 da4
一倡三歎	0	yi1 chang4 san1 tan4
一側化	0	yi1 ce4 hua4
一傳十，十傳百	0	yi1 chuan2 shi2, shi2 chuan2 bai3
一價	0	yi1 jia4
一元	0	yi1 yuan2
一元化	0	yi1 yuan2 hua4
一元復始	0	yi1 yuan2 fu4 shi3
一元論	0	yi1 yuan2 lun4
一元醇	0	yi1 yuan2 chun2
一共	0	yi1 gong4
一再	0	yi1 zai4
一准	0	yi1 zhun3
