ˇ	48	
ˊ	25	
ˋ	45	
˙	158	
〇	8	ling2
ㄅ	41	
ㄆ	26	
ㄇ	24	
ㄈ	8	
ㄉ	16	
ㄊ	5	
ㄋ	8	
ㄌ	20	
ㄍ	25	
ㄎ	15	
ㄏ	10	
ㄐ	10	
ㄑ	12	
ㄒ	10	
ㄓ	10	
ㄔ	11	
ㄕ	13	
ㄖ	2	
ㄗ	13	
ㄘ	9	
ㄙ	17	
ㄚ	177	
ㄛ	7	
ㄜ	8	
ㄝ	8	
ㄞ	11	
ㄟ	51	
ㄠ	13	
ㄡ	8	
ㄢ	6	
ㄣ	10	
ㄤ	14	
ㄥ	10	
ㄦ	7	
ㄧ	145	
ㄨ	55	
ㄩ	5	
一	213167	yi1
一一	762	yi1 yi1
一一九	21	yi1 yi1 jiu3
一丁不識	0	yi4 ding1 bu4 shi4
一丁目	1	yi1 ding1 mu4
一丁點	13	yi4 ding1 dian3
一丁點兒	3	yi1 ding1 dian3 er2
一七三	8	yi1 qi1 san1
一七九	10	yi1 qi1 jiu3
一七二	9	yi1 qi1 er4
一七五	11	yi1 qi1 wu3
一七八	9	yi1 qi1 ba1
一七六	16	yi1 qi1 liu4
一七四	10	yi1 qi1 si4
一丈	7	yi2 zhang4
一三一	13	yi1 san1 yi1
一三三	10	yi1 san1 san1
一三二	9	yi1 san1 er4
一三五	14	yi1 san1 wu3
一三六	10	yi1 san1 liu4
一三四	5	yi1 san1 si4
一上來	4	yi2 shang4 lai2
一上去	1	yi2 shang4 qu4
一上台	4	yi2 shang4 tai2
一上場	2	yi2 shang4 chang3
一下	4410	yi2 xia4
一下下	8	yi2 xia4 xia4
一下來	5	yi2 xia4 lai2
一下去	5	yi2 xia4 qu4
一下台	16	yi2 xia4 tai2
一下場	1	yi2 xia4 chang3
一下子	295	yi2 xia4 zi5
一下子轉涼	1	yi1 xia4 zi5 zhuan3 liang2
一不	93	yi2 bu4
一不做二不休	2	yi1 bu4 zuo4 er4 bu4 xiu1
一不小心	28	yi2 bu4 xiao3 xin1
一不注意	2	yi2 bu4 zhu4 yi4
一不留神	1	yi2 bu4 liu2 shen2
一世	297	yi2 shi4
一世紀	218	yi2 shi4 ji4
一世英名	1	yi2 shi4 ying1 ming2
一丘之貉	1	yi4 qiu1 zhi1 he2
一丙	1	yi1 bing3
一中一台	8	yi1 zhong1 yi1 tai2
一串	38	yi2 chuan4
一串串	13	yi2 chuan4 chuan4
一之七	1	yi1 zhi1 qi1
一九一	54	yi1 jiu3 yi1
一九七零年代	4	yi1 jiu3 qi1 ling2 nian2 dai4
一九三	108	yi1 jiu3 san1
一九三零年代	4	yi1 jiu3 san1 ling2 nian2 dai4
一九九	909	yi1 jiu3 jiu3
一九九○	0	yi1 jiu3 jiu3 ling2
一九九一	97	yi1 jiu3 jiu3 yi1
一九九七	60	yi1 jiu3 jiu3 qi1
一九九三	94	yi1 jiu3 jiu3 san1
一九九九	51	yi1 jiu3 jiu3 jiu3
一九九二	113	yi1 jiu3 jiu3 er4
一九九五	95	yi1 jiu3 jiu3 wu3
一九九八	137	yi1 jiu3 jiu3 ba1
一九九六	73	yi1 jiu3 jiu3 liu4
一九九四	75	yi1 jiu3 jiu3 si4
一九九零年代	1	yi1 jiu3 jiu3 ling2 nian2 dai4
一九二	86	yi1 jiu3 er4
一九二零年代	2	yi1 jiu3 er4 ling2 nian2 dai4
一九五零年代	2	yi1 jiu3 wu3 ling2 nian2 dai4
一九八	484	yi1 jiu3 ba1
一九八零年代	11	yi1 jiu3 ba1 ling2 nian2 dai4
一九六	240	yi1 jiu3 liu4
一九六零年代	8	yi1 jiu3 liu4 ling2 nian2 dai4
一乾二淨	8	yi4 gan1 er4 jing4
一了百了	3	yi4 liao3 bai3 liao3
一事	177	yi2 shi4
一事無成	9	yi2 shi4 wu2 cheng2
一二七	5	yi1 er4 qi1
一二三自由日	1	yi1 er4 san1 zi4 you2 ri4
一二九	7	yi1 er4 jiu3
一二五	9	yi1 er4 wu3
一二六	14	yi1 er4 liu4
一二四	6	yi1 er4 si4
一二樓	2	yi1 er4 lou2
一五	155	yi1 wu3
一五一十	4	yi1 wu3 yi1 shi2
一些	7597	yi4 xie1
一些事	71	yi1 xie1 shi4
一些些	9	yi4 xie1 xie1
一些的	30	yi4 xie1 de5
一人	299	yi1 ren2
一人份	3	yi4 ren2 fen4
一人得道	0	yi1 ren2 de2 dao4
一介	8	yi2 jie4
一介不取	0	yi2 jie4 bu4 qu3
一仗	2	yi2 zhang4
一付	10	yi2 fu4
一仟多	3	yi1 qian1 duo1
一代	414	yi2 dai4
一代不如一代	5	yi2 dai4 bu4 ru2 yi2 dai4
一代代	1	yi2 dai4 dai4
一代巨擘	1	yi2 dai4 ju4 bo4
一代英豪	0	yi2 dai4 ying1 hao2
一代豪傑	0	yi2 dai4 hao2 jie2
一以貫之	8	yi4 yi3 guan4 zhi1
一件	666	yi2 jian4
一件事	248	yi2 jian4 shi4
一任	38	yi2 ren4
一份	521	yi2 fen4
一休和尚	1	yi1 xiu1 he2 shang4
一伙	0	yi4 huo3
一似	4	yi2 si4
一位	1179	yi2 wei4
一位數	3	yi1 wei4 shu4
一住	2	yi2 zhu4
一佛出世	0	yi4 fo2 chu1 shi4
一併	189	yi2 bing4
一併處理	7	yi2 bing4 chu4 li3
一來	330	yi4 lai2
一來一往	8	yi4 lai2 yi1 wang3
一來到	3	yi4 lai2 dao4
一例	40	yi2 li4
一信	33	yi1 xin4
一個	19451	yi4 ge5
