㓦劃	bohua
㕷啦	pala
㕷噠	pada
㟏岈	hanxia
㲯毿	lansan
䰀鬌	woduo
䰖兒	zuanr
䰖兒	zuar
一一○	yiyiling
一三五不論，二四六分明	yisanwubulun,ersiliufenming
一不做，二不休	yibuzuo,erbuxiu
一不拗眾	yibuniuzhong
一丘一壑	yiqiuyihuo
一丘之貉	yiqiuzhihe
一丟兒	yidiur
一了	yiliao
一了心願	yiliaoxinyuan
一了百了	yiliaobailiao
一了百當	yiliaobaidang
一人之下，萬人之上	yirenzhixia,wanrenzhishang
一人傳十，十人傳百	yirenchuanshi,shirenchuanbai
一人傳虛，萬人傳實	yirenchuanxu,wanrenchuanshi
一人吃齋，十人唸佛	yirenchizhai,shirennianfo
一人得道，雞犬升天	yirendedao,jiquanshengtian
一人有慶，兆民賴之	yirenyouqing,zhaominlaizhi
一代巨擘	yidaijubo
一似	yisi
一佛出世，二佛涅槃	yifochushi,erfoniepan
一佛出世，二佛生天	yifochushi,erfoshengtian
一來照顧郎中，二來又醫得眼好	yilaizhaogulangzhong,erlaiyouyideyanhao
一個勁兒	yigejier
一個勁兒	yigejingr
一個勁兒	yigejinr
一個子兒	yigezir
一個富貴心，兩隻體面眼	yigefuguixin,liangzhitimianyan
一個心眼兒	yigexinyanr
一個心眼兒	yigexinyar
一個樣兒	yigeyangr
一個碗內兩張匙，不是湯著就抹著	yigewanneiliangzhangchi,bushitangzhaojiumozhao
一個蘿蔔一個坑兒	yigeluoboyigekengr
一個饅頭，也得蒸熟吃	yigemantou,yedeizhengshouchi
一停兒	yitingr
一傳十，十傳百	yichuanshi,shichuanbai
一刀見血	yidaojianxie
一分耕耘，一分收穫	yifengengyun,yifenshouhuo
一分行情，一分貨	yifenhangqing,yifenhuo
一分錢，一分貨	yifenqian,yifenhuo
一則以喜，一則以懼	yizeyixi,yizeyiju
一剎那	yichana
一口價兒	yikoujiar
一口兩匙	yikouliangchi
一古腦兒	yigunaor
一回生兩回熟	yihuishenglianghuishou
一地	yidi
一地胡拿	yidihuna
一地裡	yidili
一報還一報	yibaohuanyibao
一場官司一場火，任你好漢沒處躲	yichangguansiyichanghuo,rennihaohanmeichuduo
一塊兒	yikuair
一塊兒	yikuair　
一塊兒	yikuar
一塊石頭落了地	yikuaishitouluoledi
一夜被蛇咬，十日怕麻繩	yiyebeisheyao,shiripamasheng
一大會兒	yidahuer
一大會兒	yidahuir
一夫當關，萬夫莫敵	yifudangguan,wanfumodi
一夫當關，萬夫莫敵	yifudangguanwanfumodi
一夫當關，萬夫莫開	yifudangguan,wanfumokai
一子兒	yizer
