133	3000	jat1saam1saam1
21點	0	jaa6jat1dim2
26	107000	ji6luk1
3P	1000	saam1pi1
420	2000	sei3ji6ling4
426	0	sei3ji6luk6
438	4000	sei3saam1baat3
4424	1000	sei3sei3ji6sei3
46	43000	sei3luk1
489	3000	sei3baat3gau2
55	66000	m6m6
56k	0	ng5sap6luk6kei1
5p仔	0	ng5pi1zai2
67	25000	luk1cat6
689	20000	luk6baat3gau2
7-11	4000	cat1sap6jat1
777	2000	cat1cat1cat1
88牌	0	baat3baat3paai4
97	103000	gau2cat1
9upper	0	gau1ap1paa4
A.math	0	ei1met1
A0	12000	ei1ling4
AA制	1000	ei1ei1zai3
AA膠	0	ei1ei1gaau1
ABC	14000	ei1bi1si1
AB膠	0	ei1bi1gaau1
ACO	0	ei1si1ou1
AK	8000	ei1kei1
AO	14000	ei1ou1
ARCH	0	aa1ki2
ATM	1000	ei1ti1em1
AV	64000	ei1wi1
AV女優	7000	ei1wi1neoi5jau1
Audi	2000	aau1di2
A仔	0	ei1zai2
A字膊	1000	ei1zi6bok3
A準	0	ei1zeon2
A片	0	ei1pin2
A貨	0	ei1fo3
BB	87000	bi1bi1
BBA	3000	bi1bi1ei1
BBQ	12000	bi1bi1kiu1
BB仔	5000	bi4bi1zai2
BB床	0	bi4bi1cong4
BB彈	0	bi1bi1daan2
BB機	0	bi1bi1gei1
BB櫈	0	bi4bi1dang3
BB衫	0	bi4bi1saam1
BB話	0	bi4bi1waa2
BB車	2000	bi4bi1ce1
BB骨	0	bi4bi1gwat1
BT	16000	bi1ti1
Band仔	0	ben1zai2
Bang一聲	0	baang4jat1seng1
Benz	1000	ben1si2
Ben士	0	ben1si2
Ben屎	0	ben1si2
Big 4	0	bik1fo1
Board game	0	bot1gem1
B仔	6000	bi1zai2
C6	2000	si1luk6
C9	0	si1naai1
CCTV	9000	si1si1ti1wi1
CID	13000	si1aai1di1
CLS	1000	si1eu1!
CV	14000	si1wi1
Call鐘	0	ko1zung1
Cult片	0	kau1pin2
C疊	0	si1daap6
C眼	0	si1ngaan5
DC9	0	di1si1gau2
DD	13000	di1di1
DJ	7000	!
DNA	4000	di1en1ei1
DQ	11000	di1kiu1
DT	2000	di1ti1
DVD	10000	di1wi1di1
Dee	11000	di2
Do嘢	0	du1je5
D場	3000	di1coeng4
EO	13000	ji1ou1
EVA膠	0	i1wi1ei1gaau1
E仔	0	i1zai2
E沖C	0	ji1cung1si1
FF	18000	e1fu4e1fu4
Face	237000	fei1si2
Fact check	0	fek1cek1
Fik	0	fik6
Fing霸	0	fing6baa3
GB	8000	gik1
GG	0	zi1zi1
GPS	9000	zi1pi1e1si4
GiB	1000	gik1
Google鼻	0	gu1gou4bei6
G點	8000	zi1dim2
Hap唔Happy呀?	0	hep1m4hep1pi2aa3
He3	0	he3
H漫	0	ek2maan6
H股	0	!gu2
ID	20000	aai1di1
IDD	0	aai1di1di1
II	307000	aai1aai1
IQ	7000	aai1kiu1
IQ題	0	aai1kiu1tai4
IT	65000	aai1ti1
IT狗	1000	aai1ti1gau2
Inch	0	in1cyu4
Isuzu	0	ji6sou1sou4
JJ	24000	!
J圖	2000	!tou4
K car	0	kei1kaa1
KB	4000	kei1bi1
