一,A00001
丁,A00002
七,A00003
三,A00004
下,A00005
丈,A00006
上,A00007
丑,A00008
丐,A00009
不,A00010
丙,A00011
世,A00012
丕,A00013
且,A00014
丘,A00015
丞,A00016
丟,A00017
並,A00018
丫,A00019
中,A00020
串,A00021
丸,A00022
凡,A00023
丹,A00024
主,A00025
乃,A00026
久,A00027
么,A00028
之,A00029
尹,A00030
乍,A00031
乏,A00032
乎,A00033
乒,A00034
乓,A00035
乖,A00036
乘,A00037
乙,A00038
九,A00039
也,A00040
乞,A00041
乩,A00042
乳,A00043
乾,A00044
亂,A00045
了,A00046
予,A00047
事,A00048
二,A00049
于,A00050
云,A00051
井,A00052
互,A00053
五,A00054
亙,A00055
些,A00056
亞,A00057
亟,A00058
亡,A00059
交,A00060
亦,A00061
亥,A00062
亨,A00063
享,A00064
京,A00065
亭,A00066
亮,A00067
人,A00068
仁,A00069
什,A00070
仃,A00071
仆,A00072
仇,A00073
仍,A00074
今,A00075
介,A00076
仄,A00077
以,A00078
付,A00079
仔,A00080
仕,A00081
他,A00082
仗,A00083
代,A00084
令,A00085
仙,A00086
仞,A00087
仿,A00088
伉,A00089
伙,A00090
伊,A00091
伕,A00092
伍,A00093
伐,A00094
休,A00095
伏,A00096
仲,A00097
件,A00098
任,A00099
仰,A00100
仳,A00101
份,A00102
企,A00103
位,A00104
住,A00105
佇,A00106
佗,A00107
佞,A00108
伴,A00109
佛,A00110
何,A00111
估,A00112
佐,A00113
佑,A00114
伽,A00115
伺,A00116
伸,A00117
佃,A00118
佔,A00119
似,A00120
但,A00121
佣,A00122
作,A00123
你,A00124
伯,A00125
低,A00126
伶,A00127
余,A00128
佝,A00129
佯,A00130
依,A00131
侍,A00132
佳,A00133
使,A00134
佬,A00135
供,A00136
例,A00137
來,A00138
侃,A00139
佰,A00140
併,A00141
侈,A00142
佩,A00143
佻,A00144
侖,A00145
佾,A00146
侏,A00147
信,A00148
侵,A00149
侯,A00150
便,A00151
俠,A00152
俑,A00153
俏,A00154
保,A00155
促,A00156
侶,A00157
俘,A00158
俟,A00159
俊,A00160
俗,A00161
侮,A00162
俐,A00163
俄,A00164
係,A00165
俚,A00166
俎,A00167
俞,A00168
倌,A00169
倍,A00170
倣,A00171
俯,A00172
倦,A00173
倥,A00174
俸,A00175
倩,A00176
倖,A00177
倆,A00178
值,A00179
借,A00180
倚,A00181
倒,A00182
們,A00183
俺,A00184
倀,A00185
倔,A00186
倨,A00187
俱,A00188
倡,A00189
個,A00190
候,A00191
倘,A00192
俳,A00193
修,A00194
倭,A00195
倪,A00196
俾,A00197
倫,A00198
倉,A00199
偺,A00200
偽,A00201
停,A00202
假,A00203
偃,A00204
偌,A00205
做,A00206
偉,A00207
健,A00208
偶,A00209
偎,A00210
偕,A00211
偵,A00212
側,A00213
偷,A00214
偏,A00215
倏,A00216
傢,A00217
傍,A00218
傅,A00219
備,A00220
傑,A00221
傀,A00222
傖,A00223
傘,A00224
傭,A00225
債,A00226
傲,A00227
傳,A00228
僅,A00229
傾,A00230
催,A00231
傷,A00232
傻,A00233
傯,A00234
僧,A00235
僮,A00236
僥,A00237
僖,A00238
僭,A00239
僚,A00240
僕,A00241
像,A00242
僑,A00243
僱,A00244
億,A00245
儀,A00246
僻,A00247
僵,A00248
價,A00249
儂,A00250
儈,A00251
儉,A00252
儒,A00253
儘,A00254
儔,A00255
儐,A00256
優,A00257
償,A00258
儡,A00259
儲,A00260
儷,A00261
儼,A00262
兀,A00263
元,A00264
允,A00265
充,A00266
兄,A00267
光,A00268
兇,A00269
兆,A00270
先,A00271
兌,A00272
克,A00273
兕,A00274
免,A00275
兔,A00276
兒,A00277
兗,A00278
兜,A00279
兢,A00280
入,A00281
內,A00282
全,A00283
兩,A00284
八,A00285
六,A00286
兮,A00287
公,A00288
共,A00289
兵,A00290
具,A00291
其,A00292
典,A00293
兼,A00294
冀,A00295
冉,A00296
冊,A00297
再,A00298
冒,A00299
冑,A00300
冕,A00301
最,A00302
冗,A00303
冠,A00304
冤,A00305
冥,A00306
冢,A00307
冬,A00308
冰,A00309
冶,A00310
冷,A00311
冽,A00312
凍,A00313
凌,A00314
准,A00315
凋,A00316
凜,A00317
凝,A00318
几,A00319
凰,A00320
凱,A00321
凳,A00322
凶,A00323
凹,A00324
出,A00325
凸,A00326
函,A00327
刀,A00328
刁,A00329
刃,A00330
分,A00331
切,A00332
刈,A00333
刊,A00334
列,A00335
刑,A00336
划,A00337
刎,A00338
別,A00339
判,A00340
利,A00341
刪,A00342
刨,A00343
刻,A00344
券,A00345
刷,A00346
刺,A00347
到,A00348
刮,A00349
制,A00350
剁,A00351
剎,A00352
剃,A00353
削,A00354
前,A00355
剌,A00356
剋,A00357
則,A00358
剖,A00359
剜,A00360
剔,A00361
剛,A00362
剝,A00363
剪,A00364
副,A00365
割,A00366
剴,A00367
創,A00368
剩,A00369
剿,A00370
剷,A00371
剽,A00372
劃,A00373
劇,A00374
劈,A00375
劉,A00376
劍,A00377
劑,A00378
力,A00379
加,A00380
功,A00381
劣,A00382
劫,A00383
助,A00384
努,A00385
劬,A00386
劾,A00387
勇,A00388
勉,A00389
勃,A00390
勁,A00391
勒,A00392
務,A00393
勘,A00394
動,A00395
勞,A00396
勝,A00397
勛,A00398
募,A00399
勦,A00400
勤,A00401
勢,A00402
勵,A00403
勸,A00404
勻,A00405
勾,A00406
勿,A00407
包,A00408
匆,A00409
匈,A00410
匍,A00411
匐,A00412
匏,A00413
匕,A00414
化,A00415
北,A00416
匙,A00417
匝,A00418
匡,A00419
匠,A00420
匣,A00421
匪,A00422
匯,A00423
匱,A00424
匹,A00425
匿,A00426
區,A00427
匾,A00428
十,A00429
千,A00430
午,A00431
升,A00432
卅,A00433
仟,A00434
半,A00435
卉,A00436
卒,A00437
協,A00438
卓,A00439
卑,A00440
南,A00441
博,A00442
卜,A00443
卞,A00444
卡,A00445
占,A00446
卦,A00447
卯,A00448
卮,A00449
印,A00450
危,A00451
即,A00452
卵,A00453
卷,A00454
卸,A00455
卹,A00456
卻,A00457
卿,A00458
厄,A00459
厚,A00460
原,A00461
厝,A00462
厥,A00463
厭,A00464
厲,A00465
