字詞號,字詞名,注音一式,漢語拼音,多音參見訊息
0669,氓,(一)ㄇㄤˊ,(一)máng,(二)ㄇㄥˊ　　méng（0674）<br>
066800008,盲從,ㄇㄤˊ　ㄘㄨㄥˊ,máng cóng,
0668000071,盲人摸象,ㄇㄤˊ　ㄖㄣˊ　ㄇㄛ　ㄒㄧㄤˋ,máng rén mō xiàng,
066800007,盲人,ㄇㄤˊ　ㄖㄣˊ,máng rén,
066800005,盲腸,ㄇㄤˊ　ㄔㄤˊ,máng cháng,
066800006,盲腸炎,ㄇㄤˊ　ㄔㄤˊ　ㄧㄢˊ,máng cháng yán,
066800003,盲點,ㄇㄤˊ　ㄉㄧㄢˇ,máng diǎn,
066800002,盲目,ㄇㄤˊ　ㄇㄨˋ,máng mù,
066800001,盲胞,ㄇㄤˊ　ㄅㄠ,máng bāo,
0667000021,芒刺在背,ㄇㄤˊ　ㄘˋ　ㄗㄞˋ　ㄅㄟˋ,máng cì zài bèi,
066700003,芒草,ㄇㄤˊ　ㄘㄠˇ,máng cǎo,
0668,盲,ㄇㄤˊ,máng,
066700002,芒種,ㄇㄤˊ　ㄓㄨㄥˋ,máng zhòng,
066700001,芒果,ㄇㄤˊ　ㄍㄨㄛˇ,máng guǒ,
066600008,忙中有錯,ㄇㄤˊ　ㄓㄨㄥ　ㄧㄡˇ　ㄘㄨㄛˋ,máng zhōng yǒu cuò,
0667,芒,ㄇㄤˊ,máng,
066600006,忙亂,ㄇㄤˊ　ㄌㄨㄢˋ,máng luàn,
066600005,忙碌,ㄇㄤˊ　ㄌㄨˋ,máng lù,
066600004,忙裡偷閒,ㄇㄤˊ　ㄌㄧˇ　ㄊㄡ　ㄒㄧㄢˊ,máng lǐ tōu xián,
066600003,忙得不可開交,ㄇㄤˊ　˙ㄉㄜ　ㄅㄨˋ　ㄎㄜˇ　ㄎㄞ　ㄐㄧㄠ,máng de bù kě kāi jiāo,
066600001,忙不迭地,ㄇㄤˊ　ㄅㄨˋ　ㄉㄧㄝˊ　˙ㄉㄜ,máng bù dié de,
066600002,忙忙碌碌,ㄇㄤˊ　ㄇㄤˊ　ㄌㄨˋ　ㄌㄨˋ,máng máng lù lù,
0665,懣,ㄇㄣˋ,mèn,
0666,忙,ㄇㄤˊ,máng,
066300003,悶氣,(一)ㄇㄣˋ　ㄑㄧˋ,(一)mèn qì,(二)ㄇㄣ　ㄑㄧˋ　　mēn　qì（065900002）<br>
0664,燜,ㄇㄣˋ,mèn,
0663000021,悶葫蘆,ㄇㄣ　ㄏㄨˊ　ㄌㄨˊ　（變）ㄇㄣ　ㄏㄨˊ　˙ㄌㄨ,mēn hú lú （變）mēn hú lu,
0663000022,悶酒,ㄇㄣˋ　ㄐㄧㄡˇ,mèn jiǔ,
066300002,悶虧,ㄇㄣ　ㄎㄨㄟ,mēn kuī,
0663000011,悶棍,ㄇㄣ　ㄍㄨㄣˋ,mēn gùn,
066300001,悶悶不樂,ㄇㄣˋ　ㄇㄣˋ　ㄅㄨˋ　ㄌㄜˋ　（變）ㄇㄣˋ　ㄇㄣˋ　ㄅㄨˊ　ㄌㄜˋ,mèn mèn bù lè　（變）mèn mèn bú lè,
0663000010,悶雷,ㄇㄣ　ㄌㄟˊ,mēn léi,
0663,悶,(一)ㄇㄣˋ,(一)mèn,(二)ㄇㄣ　　mēn（0659）<br>
