編號,成語,注音,漢語拼音
1.0,一毛不拔,ㄧ　ㄇㄠˊ　ㄅㄨˋ　ㄅㄚˊ　（變）　ㄧˋ　ㄇㄠˊ　ㄅㄨˋ　ㄅㄚˊ,yī máo bù bá （變） yì máo bù bá
2.0,掩耳盜鈴,ㄧㄢˇ　ㄦˇ　ㄉㄠˋ　ㄌㄧㄥˊ,yǎn ěr dào líng
3.0,囫圇吞棗,ㄏㄨˊ　ㄌㄨㄣˊ　ㄊㄨㄣ　ㄗㄠˇ,hú lún tūn zǎo
4.0,朝三暮四,ㄓㄠ　ㄙㄢ　ㄇㄨˋ　ㄙˋ,zhāo sān mù sì
5.0,竭澤而漁,ㄐㄧㄝˊ　ㄗㄜˊ　ㄦˊ　ㄩˊ,jié zé ér yú 
6.0,舉一反三,ㄐㄩˇ　ㄧ　ㄈㄢˇ　ㄙㄢ,jǔ yī fǎn sān
7.0,青出於藍,ㄑㄧㄥ　ㄔㄨ　ㄩˊ　ㄌㄢˊ,qīng chū yú lán
8.0,含沙射影,ㄏㄢˊ　ㄕㄚ　ㄕㄜˋ　ㄧㄥˇ,hán shā shè yǐng
9.0,草木皆兵,ㄘㄠˇ　ㄇㄨˋ　ㄐㄧㄝ　ㄅㄧㄥ,cǎo mù jiē bīng 
10.0,東窗事發,ㄉㄨㄥ　ㄔㄨㄤ　ㄕˋ　ㄈㄚ,dōng chuāng shì fā
11.0,勢如破竹,ㄕˋ　ㄖㄨˊ　ㄆㄛˋ　ㄓㄨˊ,shì rú pò zhú
12.0,滄海桑田,ㄘㄤ　ㄏㄞˇ　ㄙㄤ　ㄊㄧㄢˊ,cāng hǎi sāng tián 
13.0,夜郎自大,ㄧㄝˋ　ㄌㄤˊ　ㄗˋ　ㄉㄚˋ,yè láng zì dà
14.0,信口雌黃,ㄒㄧㄣˋ　ㄎㄡˇ　ㄘ　ㄏㄨㄤˊ,xìn kǒu cī huáng
